movie_id,genre
1460,short
1461,comedy
1461,drama
1462,drama
1463,crime
1463,drama
1463,romance
1464,drama
1464,romance
1465,comedy
1465,musical
1465,romance
1466,drama
1467,comedy
1467,crime
1468,drama
1468,romance
1469,comedy
1469,family
1469,short
1470,drama
1470,war
1471,crime
1471,mystery
1471,thriller
1472,musical
1473,drama
1474,comedy
1474,drama
1474,musical
1475,comedy
1476,drama
1476,family
1476,sport
1478,comedy
1478,family
1478,short
1479,crime
1479,drama
1480,comedy
1480,drama
1480,romance
1481,crime
1481,drama
1481,film-noir
1482,adventure
1483,drama
1483,romance
1483,war
1484,drama
1484,fantasy
1484,horror
1485,drama
1485,fantasy
1485,horror
1486,crime
1486,drama
1486,romance
1487,drama
1488,comedy
1488,crime
1488,drama
1489,drama
1489,romance
1490,comedy
1491,drama
1492,adventure
1492,drama
1492,family
1493,drama
1494,comedy
1495,musical
1496,drama
1496,horror
1496,sci-fi
1497,comedy
1497,crime
1497,drama
1498,musical
1500,drama
1501,comedy
1502,action
1502,drama
1503,comedy
1504,comedy
1504,drama
1504,musical
1505,drama
1505,romance
1506,comedy
1507,musical
1507,romance
1508,comedy
1508,history
1508,musical
1509,crime
1509,drama
1509,romance
1510,crime
1510,drama
1511,comedy
1511,musical
